url,comment_text,comment_text_remove_emojis
https://www.facebook.com/toiladanthuductphcm/posts/pfbid02YFonsfkGggmYiv1f8C7rccSwB8p7n8T72UfX4vfbGAb4CBmAeQAPAE2LmfbMdk28l?__cft__[0]=AZVc624gyhIaJ7MmRXPLunmNgq2fiA4zULHWWMuQ6PT-aNhge5yVZnzVJRlbTza6ksRioUob_nbPcgvv6uLeJziqyG91Ax1rMh8_ateJPtVJl0pofPNO9ETcqyrnIGGi6ySjyCGTheWFBXAm9GLz8qL6FUn8dvk58Dp-lsfMHki-hg&__tn__=%2CO%2CP-R,Lốc số nó có 13 tờ mà ông này trúng 14 tờ luôn à,Lốc số nó có 13 tờ mà ông này trúng 14 tờ luôn à
https://www.facebook.com/toiladanthuductphcm/posts/pfbid02YFonsfkGggmYiv1f8C7rccSwB8p7n8T72UfX4vfbGAb4CBmAeQAPAE2LmfbMdk28l?__cft__[0]=AZVc624gyhIaJ7MmRXPLunmNgq2fiA4zULHWWMuQ6PT-aNhge5yVZnzVJRlbTza6ksRioUob_nbPcgvv6uLeJziqyG91Ax1rMh8_ateJPtVJl0pofPNO9ETcqyrnIGGi6ySjyCGTheWFBXAm9GLz8qL6FUn8dvk58Dp-lsfMHki-hg&__tn__=%2CO%2CP-R,"Ng ta ăn ở có đức mới đc trúng, mấy cha thất đức chết mịa, ai mà thèm độ 🫵 🫵 🫵","Ng ta ăn ở có đức mới đc trúng, mấy cha thất đức chết mịa, ai mà thèm độ   "
https://www.facebook.com/toiladanthuductphcm/posts/pfbid02YFonsfkGggmYiv1f8C7rccSwB8p7n8T72UfX4vfbGAb4CBmAeQAPAE2LmfbMdk28l?__cft__[0]=AZVc624gyhIaJ7MmRXPLunmNgq2fiA4zULHWWMuQ6PT-aNhge5yVZnzVJRlbTza6ksRioUob_nbPcgvv6uLeJziqyG91Ax1rMh8_ateJPtVJl0pofPNO9ETcqyrnIGGi6ySjyCGTheWFBXAm9GLz8qL6FUn8dvk58Dp-lsfMHki-hg&__tn__=%2CO%2CP-R,Sao giống người a họ thất lạc của mình quá 😂 😭,Sao giống người a họ thất lạc của mình quá  
https://www.facebook.com/toiladanthuductphcm/posts/pfbid02YFonsfkGggmYiv1f8C7rccSwB8p7n8T72UfX4vfbGAb4CBmAeQAPAE2LmfbMdk28l?__cft__[0]=AZVc624gyhIaJ7MmRXPLunmNgq2fiA4zULHWWMuQ6PT-aNhge5yVZnzVJRlbTza6ksRioUob_nbPcgvv6uLeJziqyG91Ax1rMh8_ateJPtVJl0pofPNO9ETcqyrnIGGi6ySjyCGTheWFBXAm9GLz8qL6FUn8dvk58Dp-lsfMHki-hg&__tn__=%2CO%2CP-R,"Trúng gió à 
 con cháu của nó cả thôi 😂","Trúng gió à 
 con cháu của nó cả thôi "
https://www.facebook.com/toiladanthuductphcm/posts/pfbid02YFonsfkGggmYiv1f8C7rccSwB8p7n8T72UfX4vfbGAb4CBmAeQAPAE2LmfbMdk28l?__cft__[0]=AZVc624gyhIaJ7MmRXPLunmNgq2fiA4zULHWWMuQ6PT-aNhge5yVZnzVJRlbTza6ksRioUob_nbPcgvv6uLeJziqyG91Ax1rMh8_ateJPtVJl0pofPNO9ETcqyrnIGGi6ySjyCGTheWFBXAm9GLz8qL6FUn8dvk58Dp-lsfMHki-hg&__tn__=%2CO%2CP-R,Anh còn nhớ ổ bánh mì mình từng chia đôi kh,Anh còn nhớ ổ bánh mì mình từng chia đôi kh
https://www.facebook.com/toiladanthuductphcm/posts/pfbid02YFonsfkGggmYiv1f8C7rccSwB8p7n8T72UfX4vfbGAb4CBmAeQAPAE2LmfbMdk28l?__cft__[0]=AZVc624gyhIaJ7MmRXPLunmNgq2fiA4zULHWWMuQ6PT-aNhge5yVZnzVJRlbTza6ksRioUob_nbPcgvv6uLeJziqyG91Ax1rMh8_ateJPtVJl0pofPNO9ETcqyrnIGGi6ySjyCGTheWFBXAm9GLz8qL6FUn8dvk58Dp-lsfMHki-hg&__tn__=%2CO%2CP-R,Xin Chuc mung 🙏 👏,Xin Chuc mung  
https://www.facebook.com/toiladanthuductphcm/posts/pfbid02YFonsfkGggmYiv1f8C7rccSwB8p7n8T72UfX4vfbGAb4CBmAeQAPAE2LmfbMdk28l?__cft__[0]=AZVc624gyhIaJ7MmRXPLunmNgq2fiA4zULHWWMuQ6PT-aNhge5yVZnzVJRlbTza6ksRioUob_nbPcgvv6uLeJziqyG91Ax1rMh8_ateJPtVJl0pofPNO9ETcqyrnIGGi6ySjyCGTheWFBXAm9GLz8qL6FUn8dvk58Dp-lsfMHki-hg&__tn__=%2CO%2CP-R,Xin vía xin vía 😂,Xin vía xin vía 
https://www.facebook.com/toiladanthuductphcm/posts/pfbid02YFonsfkGggmYiv1f8C7rccSwB8p7n8T72UfX4vfbGAb4CBmAeQAPAE2LmfbMdk28l?__cft__[0]=AZVc624gyhIaJ7MmRXPLunmNgq2fiA4zULHWWMuQ6PT-aNhge5yVZnzVJRlbTza6ksRioUob_nbPcgvv6uLeJziqyG91Ax1rMh8_ateJPtVJl0pofPNO9ETcqyrnIGGi6ySjyCGTheWFBXAm9GLz8qL6FUn8dvk58Dp-lsfMHki-hg&__tn__=%2CO%2CP-R,Xin vía may mắn mắn,Xin vía may mắn mắn
https://www.facebook.com/toiladanthuductphcm/posts/pfbid02YFonsfkGggmYiv1f8C7rccSwB8p7n8T72UfX4vfbGAb4CBmAeQAPAE2LmfbMdk28l?__cft__[0]=AZVc624gyhIaJ7MmRXPLunmNgq2fiA4zULHWWMuQ6PT-aNhge5yVZnzVJRlbTza6ksRioUob_nbPcgvv6uLeJziqyG91Ax1rMh8_ateJPtVJl0pofPNO9ETcqyrnIGGi6ySjyCGTheWFBXAm9GLz8qL6FUn8dvk58Dp-lsfMHki-hg&__tn__=%2CO%2CP-R,Thành Tâm xin vía may mắn,Thành Tâm xin vía may mắn
https://www.facebook.com/toiladanthuductphcm/posts/pfbid02YFonsfkGggmYiv1f8C7rccSwB8p7n8T72UfX4vfbGAb4CBmAeQAPAE2LmfbMdk28l?__cft__[0]=AZVc624gyhIaJ7MmRXPLunmNgq2fiA4zULHWWMuQ6PT-aNhge5yVZnzVJRlbTza6ksRioUob_nbPcgvv6uLeJziqyG91Ax1rMh8_ateJPtVJl0pofPNO9ETcqyrnIGGi6ySjyCGTheWFBXAm9GLz8qL6FUn8dvk58Dp-lsfMHki-hg&__tn__=%2CO%2CP-R,Xin vía ạ,Xin vía ạ
